fund_id,VaR_95,CVaR_95
1,-0.011827,-0.01523
2,-0.012129,-0.016078
3,-0.021502,-0.028444
4,-0.023155,-0.030163
5,-0.003429,-0.004618
6,-0.012884,-0.016768
7,-0.012502,-0.016964
8,-0.016902,-0.02185
9,-0.016762,-0.021484
10,-0.003338,-0.004581
11,-0.012133,-0.0161
12,-0.012531,-0.016226
13,-0.016224,-0.022363
14,-0.013005,-0.017792
15,-0.000196,-0.000325
16,-0.012333,-0.016328
17,-0.012066,-0.015542
18,-0.02281,-0.02994
19,-0.011033,-0.014938
20,-0.003344,-0.004541
21,-0.011725,-0.015249
22,-0.01695,-0.021251
23,-0.013327,-0.017114
24,-0.000204,-0.000362
25,-0.012693,-0.016166
26,-0.012588,-0.016332
27,-0.016997,-0.022375
28,-0.023284,-0.02969
29,-0.012173,-0.016075
30,-0.023915,-0.030289
31,-0.000218,-0.000371
32,-0.011047,-0.014381
33,-0.016857,-0.021771
34,-0.013743,-0.017964
35,-0.012607,-0.016343
36,-0.013313,-0.017384
37,-0.015259,-0.019852
38,-0.012955,-0.016995
39,-0.015866,-0.020903
40,-0.02152,-0.028573
